@relation fcensus

@attribute DIVISION numeric
@attribute ACCESS numeric
@attribute ACR numeric
@attribute BDSP numeric
@attribute ELEP numeric
@attribute GASP numeric
@attribute RNTPRange {medium,low,high}
@attribute RNTP numeric
@attribute FINCP numeric

@data

7,1,1,4,200,30,medium,2000,114400
5,1,1,2,180,0,medium,2100,73000
2,1,1,4,300,0,low,550,22500
9,1,1,3,100,20,medium,1800,103900
1,1,0,2,160,0,low,850,54000
2,1,0,1,200,0,low,930,30000
5,1,1,3,160,0,medium,1200,74200
5,1,1,3,90,50,medium,1300,43000
7,1,1,2,70,40,low,200,60000
6,1,1,3,280,360,low,750,17300
5,3,0,2,220,0,low,400,18000
1,3,0,2,70,150,low,1100,51000
9,1,1,3,250,40,medium,1900,440000
5,2,1,3,320,0,low,700,132400
8,1,2,3,520,0,medium,1200,26600
9,1,0,2,0,20,medium,1300,75000
9,1,1,3,50,40,low,1000,21000
5,3,0,1,90,0,low,430,30000
7,1,0,2,0,70,low,750,126000
7,3,1,2,230,0,low,200,54200
9,1,1,3,320,0,medium,1800,72000
7,3,3,3,210,0,low,340,1200
4,1,1,1,170,130,low,360,58800
1,3,0,2,150,0,low,930,25000
7,1,1,2,150,0,low,400,29000
8,1,1,3,100,50,low,1000,67000
6,3,0,2,90,0,low,500,30000
3,1,1,2,90,20,low,700,28300
9,1,0,2,40,40,medium,1300,5000
6,1,1,2,150,0,low,650,32800
5,1,3,4,420,0,low,500,40440
6,3,0,3,80,40,low,540,46200
6,2,0,2,90,0,low,240,40910
7,1,0,1,40,40,low,630,6500
2,1,1,3,60,60,low,500,8670
9,1,0,2,0,0,low,980,40000
9,1,1,3,350,100,medium,1800,90000
5,1,1,4,250,0,low,900,31000
5,3,1,3,110,70,low,1000,30000
9,1,0,2,140,40,medium,1500,62600
5,1,0,2,140,0,low,1100,68500
3,1,1,2,160,60,low,380,17000
5,1,0,2,120,0,low,780,40480
9,1,1,4,100,10,medium,1600,110300
3,1,2,4,180,70,low,800,11400
7,2,1,3,190,230,low,640,38000
5,3,0,3,270,0,medium,1500,44000
1,1,0,3,100,0,low,410,25000
9,1,0,2,70,30,medium,1700,62000
5,1,1,3,70,0,low,430,36400
7,2,1,2,130,30,low,330,65000
3,3,1,3,100,0,low,540,33800
9,3,0,2,60,50,low,1000,40800
9,1,1,3,150,30,low,950,67200
6,3,2,2,90,0,low,300,40000
9,1,0,2,60,0,low,710,33000
5,1,0,2,70,0,low,700,60000
5,3,1,2,170,0,low,280,4900
9,1,0,3,160,0,low,700,27100
8,1,1,2,80,0,low,900,26000
9,3,0,2,140,0,medium,1200,15000
7,1,0,3,120,0,low,940,73000
3,1,1,3,80,60,low,580,78488
3,1,1,2,40,30,low,1000,50700
4,1,1,3,100,0,low,30,8000
6,1,1,3,0,0,low,500,50900
3,1,1,3,160,0,low,650,11400
5,3,1,2,220,0,low,400,43500
5,2,0,3,0,0,low,1000,40000
5,2,0,3,60,0,low,750,35000
5,1,0,2,120,0,medium,1600,30000
3,1,0,2,50,30,low,600,30600
9,1,0,2,10,10,low,990,25000
5,1,1,3,0,0,low,730,43000
6,2,1,2,140,0,low,730,30400
7,1,1,3,80,30,low,600,79000
9,1,0,1,50,20,low,1100,22800
3,1,1,2,130,40,low,1100,60000
5,1,0,1,100,0,low,1100,104000
2,3,2,3,60,160,low,800,27190
7,1,0,1,150,0,low,660,38000
6,1,1,3,70,50,low,310,21400
6,1,0,1,0,0,low,440,11000
3,3,1,2,150,0,low,480,15100
6,3,2,2,310,300,low,200,12680
1,1,1,2,250,0,low,1100,62000
5,1,0,2,110,0,low,980,69600
7,1,0,2,70,0,low,650,30100
7,3,0,2,100,0,low,400,11600
9,1,1,3,100,20,low,1000,126000
5,1,0,2,50,0,low,850,70000
6,1,0,3,110,0,low,800,65000
5,1,1,3,180,0,low,900,31000
9,3,1,2,70,0,low,650,18700
5,3,1,4,190,0,low,600,12000
9,1,1,3,140,0,medium,2300,123000
1,1,1,2,100,0,low,700,117000
5,1,1,1,0,0,low,1100,58000
6,3,0,2,140,0,low,680,19200
4,1,1,1,30,80,low,270,21000
9,1,1,3,90,50,low,900,69504
9,1,1,3,40,30,medium,2100,114000
8,1,1,3,140,0,low,980,23200
1,3,0,1,0,0,low,780,12000
5,1,0,2,40,0,low,480,22940
5,1,2,3,210,0,low,1000,83100
5,1,0,3,60,0,medium,1300,6000
7,1,0,2,50,0,low,590,60902
3,1,1,3,80,80,medium,1400,52000
9,1,0,2,200,0,low,750,66700
3,1,0,2,40,0,medium,1200,40000
7,3,1,2,270,180,low,650,15600
3,1,0,3,190,0,low,700,51900
9,1,1,2,20,0,low,1000,90100
7,1,0,1,80,0,low,950,45300
3,1,0,2,40,100,low,1000,21600
7,1,0,3,60,0,medium,1400,103000
9,1,0,1,120,30,low,1000,47800
8,2,1,4,160,0,low,290,10000
9,1,1,1,20,10,low,730,10000
7,1,0,2,170,0,low,700,94500
8,1,1,3,110,10,low,650,68000
9,1,1,2,190,0,low,680,7300
7,1,0,1,100,0,low,870,43000
9,1,0,2,20,10,low,880,45600
7,3,0,2,120,0,low,500,30000
3,1,0,2,50,90,low,550,1220
5,3,0,1,50,60,low,950,45000
9,1,0,2,180,0,low,880,9000
9,3,0,2,100,0,low,680,69000
9,1,1,3,130,40,medium,1300,40500
9,1,1,4,100,380,low,1000,15000
9,1,1,3,450,80,medium,2000,70900
9,1,1,3,100,50,low,200,41300
5,2,2,2,150,0,low,450,30000
8,1,0,2,120,0,medium,1200,125000
9,1,1,4,130,0,medium,1200,40000
6,2,1,2,150,0,low,150,8500
7,1,0,2,0,0,low,800,70000
2,1,0,2,60,500,low,750,36000
7,1,0,2,60,0,low,500,13300
7,1,2,3,250,0,low,370,34000
5,1,1,2,70,0,low,950,52000
6,1,1,2,200,0,low,780,46100
8,1,0,2,80,0,low,670,49000
5,2,1,3,60,0,low,800,106000
7,1,1,3,100,30,low,900,115000
3,1,0,3,90,100,high,2900,130400
5,3,1,1,70,0,low,550,18000
1,1,0,2,100,50,medium,1400,55000
9,1,0,0,30,10,low,600,25000
9,1,0,3,70,50,medium,1700,120000
7,1,2,4,100,80,low,380,54000
5,1,0,1,0,0,medium,1400,80000
9,2,0,1,40,40,low,850,30000
7,1,1,3,170,40,low,400,41600
3,2,1,3,180,280,low,60,8500
8,1,0,2,190,0,low,720,30000
1,1,0,3,70,0,low,600,10100
8,3,1,2,100,50,low,650,25500
9,1,1,3,90,90,medium,2100,105000
3,1,0,1,60,0,low,580,63200
9,1,1,3,240,0,medium,1200,21400
5,1,1,3,140,0,medium,1300,15000
5,1,0,2,190,0,medium,1200,40000
9,1,1,3,150,50,low,1100,13620
3,1,0,3,130,40,medium,1400,86000
7,1,1,1,110,20,medium,1200,54600
1,3,0,0,0,0,medium,1300,24000
5,3,0,1,80,0,low,1100,54000
5,3,1,2,80,120,low,700,5000
5,3,1,3,80,0,low,400,24000
