@relation finalcensus_1

@attribute DIVISION numeric
@attribute ACCESS numeric
@attribute ACR numeric
@attribute BDSP numeric
@attribute ELEP numeric
@attribute GASP numeric
@attribute RNTPRange {low,medium,high}
@attribute FINCP numeric
@attribute ST numeric

@data

5,3,1,4,0,0,low,1,8
4,1,1,2,0,0,low,2,24
5,1,1,3,0,0,low,2,42
7,1,0,3,0,0,low,1,19
8,1,1,3,0,0,low,1,3
5,1,0,1,0,0,low,2,10
3,2,1,3,1,0,low,1,43
9,1,0,2,0,0,medium,1,5
8,1,0,2,2,0,low,1,6
9,1,1,3,0,0,medium,1,5
7,3,0,2,0,0,low,1,19
3,2,1,3,1,0,low,1,43
7,3,0,1,0,0,low,1,37
1,1,0,2,2,0,low,1,7
6,1,2,1,1,0,low,1,36
7,3,1,3,0,0,low,2,37
8,1,0,1,1,0,low,1,6
9,1,0,1,0,0,medium,1,5
5,1,3,3,0,0,medium,1,21
6,2,2,3,0,0,low,2,1
9,1,1,1,0,0,low,1,5
7,3,0,3,0,0,low,1,30
9,1,0,1,0,0,low,1,31
9,2,0,2,0,0,low,1,5
9,1,0,3,1,0,low,2,5
9,3,0,3,0,0,low,1,41
3,1,0,3,2,0,low,1,15
9,1,1,3,0,0,high,2,5
9,3,0,2,1,0,low,1,5
9,1,0,2,0,0,low,1,5
6,3,0,2,0,1,low,2,25
9,1,2,4,1,0,high,1,5
2,1,0,2,0,0,low,2,32
1,1,1,3,0,0,low,1,22
8,3,1,3,2,0,low,2,3
8,1,1,3,0,0,low,1,38
5,1,2,3,0,0,low,1,40
9,1,1,3,0,0,low,2,31
5,1,1,3,1,0,medium,1,10
5,2,1,3,0,0,low,1,27
9,1,1,3,0,0,medium,2,41
6,3,1,3,0,0,low,1,36
9,1,0,0,1,0,low,2,5
5,1,0,1,0,0,low,1,9
9,3,1,2,1,0,low,1,5
6,1,1,3,0,0,low,1,1
9,3,0,2,0,0,medium,1,5
9,1,1,1,1,0,low,2,31
5,1,1,3,0,0,low,1,10
7,3,0,2,0,0,low,1,37
